Gene	Ensembl	Sum
Gm17124	true	1
Gm17174	true	1
Gm17175	true	1
Gm17268	true	1
Gm17304	true	1
Gm17332	true	1
Gm17349	true	1
Gm17364	true	1
Gm17374	true	1
Gm17387	true	1
Gm17402	true	1
Gm17416	true	1
Gm17428	true	1
Gm17482	true	1
Gm17490	true	1
Gm17535	true	1
Gm17542	true	1
Gm17545	true	1
Gm17555	true	1
Gm17571	true	1
Gm17581	true	1
Gm17604	true	1
Gm17606	true	1
Gm17617	true	1
Gm17622	true	1
Gm17631	true	1
Gm17651	true	1
Gm17654	true	1
Gm17655	true	1
Gm17657	true	1
Gm17660	true	1
Gm17662	true	1
Gm17720	true	1
Gm17728	true	1
Gm17783	true	1
Gm17949	true	1
Gm19345	true	1
Gm19410	true	1
Gm19426	true	1
Gm19684	true	1
Gm1979	true	1
Gm19935	true	1
Gm19965	true	1
Gm2004	true	1
Gm2007	true	1
Gm20075	true	1
Gm2026	true	1
Gm20379	true	1
Gm20403	true	1
Gm20441	true	1
Gm20449	true	1
Gm20479	true	1
Gm20481	true	1
Gm20532	true	1
Gm20537	true	1
Gm20538	true	1
Gm20594	true	1
Gm20661	true	1
Gm20662	true	1
Gm20696	true	1
Gm20708	true	1
Gm20721	true	1
Gm20737	true	1
Gm20738	true	1
Gm20747	true	1
Gm20765	true	1
Gm20767	true	1
Gm20772	true	1
Gm20773	true	1
Gm20777	true	1
Gm20795	true	1
Gm20806	true	1
Gm20807	true	1
Gm20809	true	1
Gm20812	true	1
Gm20815	true	1
Gm20816	true	1
Gm20821	true	1
Gm20822	true	1
Gm20823	true	1
Gm20825	true	1
Gm20826	true	1
Gm20828	true	1
Gm20830	true	1
Gm20831	true	1
Gm20834	true	1
Gm20852	true	1
Gm20854	true	1
Gm20865	true	1
Gm20867	true	1
Gm20873	true	1
Gm20877	true	1
Gm20878	true	1
Gm20909	true	1
Gm20914	true	1
Gm20917	true	1
Gm20918	true	1
Gm20924	true	1
Gm21028	true	1
Gm21060	true	1
Gm21083	true	1
Gm21103	true	1
Gm21118	true	1
Gm21149	true	1
Gm21188	true	1
Gm21190	true	1
Gm21244	true	1
Gm21292	true	1
Gm21293	true	1
Gm21304	true	1
Gm21310	true	1
Gm21312	true	1
Gm21394	true	1
Gm21425	true	1
Gm21440	true	1
Gm21454	true	1
Gm21560	true	1
Gm21586	true	1
